sent,Given_label,Predicted_label
Remind me to buy eggs today at 5:33pm,buy eggs,buy eggs
Remind me to buy eggs,buy eggs,buy eggs
Can this reminder set for food,food,this set
Reminder to bring card with seeds from office on 24 November,bring card with seeds,bring card
Remind me to send weekly reports to college at 9pm today,send weekly reports to college,send weekly reports
So u will remaind me na??,Not Found,Not Found
Today One plus 3 dash sale pls remind december 30,Not Found,dash sale pls
Reminder for reverse auction at 3.45 pm today,reverse auction,for reverse auction
How can I customise these reminders,Not Found,customise these reminders
Can you make an another wakeup call at 7:30 AM,another wakeup call,another wakeup call
Alarm after 5 min,Alarm,Not Found
Pl remind by 7,Pl remind,Not Found
Reminder about Online application of coal India limited,Online application of coal India limited,about Online application
Nothing as of now... thank you,Nothing,Not Found
"I get these reminders all at once, only when I open haptik.",Not Found,get these reminders
yeah.....please remind i v to discuss Q paper with my 12th class at around 10 tomorrow.,discuss Q paper with my 12th class,discuss Q paper
Set a reminder today at 10am,Not Found,Set a
How reminders work?,How reminders work,Not Found
can you remind me that back at 3 pm,Not Found,Not Found
Thank you for reminding me so frequently,Not Found,Not Found
Thank u soo mch...for such a good n appropriate remainder schedule..thanks alot..,Thank u soo mch...for such,u soo mch
Good mrng I will tell u chhaya,chhaya,tell u chhaya
Set a reminder for me to print tickets,print tickets,Set a
I want reminder till 10 pm,Not Found,want till
Remind me to wash my clothes yaa i always forget,wash my clothes,wash my clothes
Set alarm at 9 am morning,Not Found,Set alarm
Remind to collect cloths,collect cloths,collect cloths
I have another one reminder fr the night tabs,another one reminder fr the night tabs,fr the night tabs
Please Remind To Have Apple At 11:30 Am,Have Apple,Have Apple
Remind me to go PETA for animal officer tommorow at 9 am,go PETA for animal officer,for animal officer tommorow
Do i have to open the haptik app to see my reminder what kind of reminder is that???,open the haptik app to see my,open the haptik app
I have any schedules,any schedules,have any schedules
Mere ko mere 4 pm ka reminder nahi mila aur 4 30 ka reminder 3 40 a raha hai,raha hai,ka nahi mila
Today at 11:59pm,Not Found,Not Found
Remind me to wash clothes at 20.00,wash clothes,wash clothes
Remind me at 8 28 for watching chandra nandini today,watching chandra nandini,watching chandra nandini
Can you please remind me arrangements,Not Found,me arrangements
Reminder for Indian idol watching. 8 pm sony,Indian idol watching,for Indian idol watching
"Hi puneet , i found haptik is very good but I'd it possible to have some call facilities on haptik",have some call facilities on haptik,have some call facilities
Plz remind me to send file today at 3pm,send file,send file
Alarm for 10:15,Not Found,Not Found
Can u remind me @5 to check for places around Tosh,check for places around Tosh,check for places
I am really very much impressed about this kind of service,very much impressed about this kind of service,impressed about this kind
Remind me of pabkaj tomo morning 7 50 am,Not Found,me of pabkaj tomo morning
"Yes, please.",Not Found,Not Found
Remind me today at 6pm to exchange clothes of jeans,exchange clothes of jeans,exchange clothes
And can u pls set Gaytri mantra as alarm tone,Not Found,as alarm tone
Can You cancal my remainder,Not Found,my remainder
On December 29,Not Found,On December
Remind on 10 am today,Not Found,Not Found
Nopes remind me on 23rd december 8:30a.m.,Not Found,Not Found
Can you set the alram for 2:22 pm for today,Not Found,set the alram
Ya remind me every day,Not Found,me every day
Set that alaram till 11.55pm,Not Found,alaram till
I have to send marketing presentation by 2 pm,I have to send marketing presentation,send marketing presentation
Thanks for the reminder...,Not Found,for the
Remind me morning 8am have naming ceremony,have naming ceremony,me morning
Add a reminder for Thursday 24th Nov 10.00am,Not Found,Add a
Can you please set a reminder for tomorrow at 10 am TO BRING SAMPLE TEST PAPERS OF PHYSICS OF OSWAL PUBLICATIONS.,BRING SAMPLE TEST PAPERS OF PHYSICS OF OSWAL PUBLICATIONS,TO BRING SAMPLE TEST PAPERS OF PHYSICS OF OSWAL PUBLICATIONS
Set all of them,them,Not Found
Reminder to Michael,Not Found,Not Found
Remind me to dry clean sweater of rebika today at 7:10pm,dry clean sweater of rebika,dry clean sweater
Where the alarm at 6:58PM,Where the alarm,the alarm
December 10 ...11 o clk.night reminder me,Not Found,o clk.night
Sorry to disturb can i have one more reminder,Not Found,Not Found
Schedule a reminder for 10 am today for deposition of service tax,deposition of service tax,of service tax
8:30 pm remainder for bag stuffs,bag stuffs,for bag stuffs
Reminder to take signed index for the practical exam,take signed index for the practical exam,for the practical exam
Through call please,Not Found,Through call please
Please call if possible,call if possible,Not Found
Set a reminder for me on tomorrow 8 am,Not Found,Set a
I need to give the package box reminder,give the package box,give the package box
I set it for today morning,Not Found,set it for morning
How to increase volume of reminder,increase,increase volume
hi.could u change my 11pm reminder to 8pm reminder,Not Found,hi.could u change
Can it be set from 9 am,Not Found,Not Found
Set a reminder on 31st morning 10.15,Not Found,Set a
Get ready alarm please,Get ready alarm,ready alarm please
Remind me to make my ICICI Credit Card Payment,make my ICICI Credit Card Payment,make my ICICI Credit Card Payment
Can u Make a reminder for Trouser alteration today at 4pm ?,Trouser alteration,for Trouser alteration
Remind me to get download the gps app for PG,get download the gps app for PG,download the gps app
Dmart reminder at 3 pm to buy shaving cream,buy shaving cream,shaving cream
Remind me to go Wwf on Monday at 6 pm,go Wwf,go Wwf
University application filling completion. Reminder by 3 today,application filling completion. Reminder,University application
Hi remind me to buy notebooks at 5pm today,buy notebooks,buy notebooks
thnx for the reminder,Not Found,for the
Please give me reminder for ticket booking on 05/01/17 at 10:00 am,ticket booking,for ticket booking
Thnx for reminder,Not Found,Not Found
hey will remind me on wednesday for school picnic,school picnic,for school picnic
Remind me for public notice by 11.00am todau,public notice,me for public notice
How you remind us,Not Found,Not Found
can you set the alarm for same in my device?,same in my device,set the alarm
I want to set another reminder (to do list),Not Found,set another
Do you forget to remind me,remind me,Not Found
Remind me at 4.15 today to have protein,have protein,have protein
Can you remind me about finding my language documents which I suppose to carry with me tomorrow at office?,finding my language documents and carry with me,finding my language documents
Dec 4 pa's,Not Found,Not Found
Can u remind me to read news,read news,read news
Can you make me remainder,Not Found,Not Found
Does u guys are going to remind me or u guys going to wish..,Does u guys are going and wish,u guys
My reminder for atkt,Not Found,for atkt
Can I reschedule the alarm for today?,Not Found,reschedule the alarm
Hey Please remind me that I have to go for a movie on monday at 7pm.. Remind me at 3pm,go for a movie and .. Remind me,go for a movie
Remind me 2 have food,Not Found,have food
In another 2 minutes please remind me to cal shyja,cal shyja,cal shyja
Remind me to get tablets at 7 30.,get tablets,get tablets
Will u remind me for food also,food also,me for food
Remind me to fax sumit bh,fax sumit bh,fax sumit bh
Want to make a reminder,make a reminder,make a
Ok remind me later,Not Found,Not Found
Could you please releat the timings of my reminders?,my reminders,releat the timings
"Call me at 4.30,4.45.&.5.00",Not Found,Not Found
sure,Not Found,Not Found
Set reminder,Not Found,Not Found
Hii mamm...I m asking u about DND?,Hii mamm...I m asking u about DND,Hii mamm
How many reminders did you set for me ?,How many reminders,many reminders
Remind me to send gre score to nyu today at 8 am,send gre score to nyu,send gre score
Remind me to renew max bupa policy at 830 tonige,renew max bupa policy,renew max bupa policy
Pleas set reminder @10:00pm tonight,Not Found,Not Found
Just remind me everyday,Not Found,Not Found
Remind at 6 in evening to wash clothes,wash clothes,wash clothes
thanks for reminding,Not Found,Not Found
Could you tell me about monthly fees of inlingua,tell me about monthly fees of inlingua,tell me about monthly fees
Daivahitham..... Remind me at 8 pm today....,Not Found,Not Found
I we schedul it for whole week or till 4th of jan,Not Found,schedul it for whole week
Please discontinue the reminder to take PPBS,take PPBS,discontinue the
More reminder,Not Found,Not Found
Hey how abt reminding me for green tea,green tea,me for green tea
Will you remind only if I am connected to Internet?,connected to Internet,Not Found
set a reminder for 12:45,Not Found,set a
Can you remind me between 1:00 pm to 8:00pm,Not Found,Not Found
Could you plz set a reminder for me to get my brother polio drops on date,get my brother polio drops,get my brother polio drops
Could this haptic make a fake phone call to me,Not Found,make a fake phone call
Please remind me to make mom of the peer to peer meeting with STARTUPS @11:39 am on 22nd December.,peer meeting with STARTUPS,of the peer
Remind me in every 15 minz,Not Found,Not Found
Okay so this reminder will start from tommorrow??,start,start from tommorrow
What will you remind me?,Not Found,Not Found
Can you edit the reminder for me,Not Found,edit the
remember me i hv to mail somebody on monday....,Not Found,mail somebody
i want alarm at 12:30 pm,Not Found,want alarm
Remind me today at 10 to put A tie in my school bag,put A tie in my school bag,put A tie
Send me my future reminders which I have scheduled,Not Found,my future reminders
Where is my remainder,Where,is my remainder
Remind me to recharge my phone on 10nth of every month,recharge my phone,recharge my phone
Can you tell me about ATM withdraw limit?,ATM withdraw limit,tell me about ATM
Can you please remind me for this task tomorrow at 2pm,this task,me for this task
Ty for reminding,Not Found,Not Found
By the way i usually request any sort of reminders through texts. Well is there an option to set the same through voice instructions?,reminders through texts. Well is there an option to set the same through voice instructions,By the way i
Please keep calling me.,keep calling me,Not Found
Set reminder for 15 min latter,Not Found,Not Found
Remind me to purchase aamla form at the end of matva seri At 11:20 am tomorrow,purchase aamla form at the end of matva seri,purchase aamla form
Call me on 918374933802,Call me,Not Found
Remind me to send 3mm 2 sheets and 5mm 2 sheets @75/kg to kbg induction at 12pm tommorow,send 3mm 2 sheets and 5mm 2 sheets and kbg induction,kbg induction
Shraddha I dint get the remainder🙁,Not Found,get the remainder🙁
What about website megs from my clg ?,What about website megs from my clg,about website megs
ReMinder to leave office by 8 pm,leave office,leave office
Remind me on Sunday 6 pm to watch zee telugu,watch zee telugu,watch zee telugu
Plz remind me 10 to 7,Not Found,Not Found
Thanks bro,Not Found,Not Found
Namaz reminder,Not Found,Not Found
Remind me to make payment of Rajesh Cable today 08:00pm,make payment of Rajesh Cable,of Rajesh Cable
Set reminder after 30 sec,Not Found,Not Found
Hi cud u delete all the earlier reminders,delete all the earlier reminders,the earlier reminders
Please set reminders between 0515–0630 hours. Each reminder after every five minutes. Please set the reminder for tomorrow,Not Found,set reminders
Remind me everyday three times..till 29th..,Not Found,Not Found
Ser reminder for vcci expo,vcci expo,for vcci expo
Reminder needed,Not Found,Not Found
Remind me to do accounts of ramdev on 3rd of december,do accounts of ramdev,do accounts
Remind me to tell Navya to take her ss tax book,take her ss tax book,take her ss tax book
Khairthal me tija kha h,tija kha h,tija kha h
When will you remind me now,Not Found,Not Found
Will you be reminding me this every hour??,you be reminding me,every hour
Hi please remind me to fill the timesheet at 4th January 10.30pm IST,fill the timesheet,fill the timesheet
Remind me day after tomorrow for payment of SANTOSH to collect at 10am,payment of SANTOSH to collect,me day
Set a reminder for me at 9.45 pm,Not Found,Set a
Can u do weekdays schedule,Not Found,do weekdays
Remind me i have to watch science of stupid at 3pm,watch science of stupid,watch science
Hey..please remind me of turning on the Refrigerator at 1700 hrs..,turning on the Refrigerator,turning on the Refrigerator
Remembers,Not Found,Not Found
"Hey, please remind me to return the sherwani before 7 pm today.....",return the sherwani,return the sherwani
Remind me in tomorrow,Not Found,me in
"Add a new to-do Task: Call to kensha Date: November 19, 2016 Time: 2 29 AM",Not Found,Add a new to-do Task
Thanjs for reminding,Not Found,Not Found
Kindly reminder me,Not Found,Not Found
Please remind to order the cake tomorrow at 9 am,order the cake,the cake
Can u give me a gym schedule?,give me a gym schedule,give me a gym schedule
Please remind me tomorrow that I have to go to barber,go to barber,Not Found
"Can u remind me at 2,3,4,5,6 am to take 224 m/c data today",take 224 m/c data,m/c data
Did you make a reminded for Aishwarya,Not Found,reminded for Aishwarya
Can u send me a reminder one day before bday,Not Found,send me a
I have one more reminder,Not Found,Not Found
Remind me to get a train,get a train,get a train
Please. Thanks.,Not Found,Not Found
Remind me to take sim card from hari at today evening 5:30pm,take sim card from hari,take sim card
You guys give a call or msg?,You guys give a call or msg,give a call
Do one thing remind me@ 5.50 pm today,Do one thing,Not Found
Remind me to eat bananas after 12:00Am,eat bananas,eat bananas
Can I got reminder on whatsapp,on whatsapp,on whatsapp
Keep alarm at 6:15am on weekdays,Keep alarm,Keep alarm
Please reminder me tomorrow picked kaju,picked kaju,picked kaju
Call Kannan tomorrow 11'0 clock,Call Kannan,Call Kannan
Remind me to take a reservation tomorrow on time 10:30am,take a reservation,take a reservation
So. The calls will be from an IVR? Automated voice?,Not Found,be from an IVR
Reminder 1.30 pm task duvet today,Not Found,task duvet
ok thanks for reminding,Not Found,ok thanks
Hi sayali can u pls remind for the cat food at 10pm today,the cat food,for the cat food
Set 2 alarm for 9.30 am and 8.00 pm,Not Found,Not Found
23 11 miting plzzz reminder mee,Not Found,miting plzzz mee
Reminder on 22nd for visiting chakiat on 23rd,visiting chakiat,visiting chakiat
REMIND ME TO RENEW INSURANCE OF EVALIA ON 10/1/17,RENEW INSURANCE OF EVALIA,ME TO RENEW INSURANCE OF EVALIA ON
Also please remind to go gyming everyday at 6.50 pm,go gyming,Not Found
Do i have to have internet access for the reminder services to work?,have internet access and services to work,have internet access
Call me at 8:15am to 9:00am after every 2mins,Not Found,Not Found
Can you please set a reminder for today at 6 p.m?,Not Found,set a
Ya that would be greay,Not Found,Not Found
By which mode will you remind,which mode will you remind,Not Found
I want to speak and put a reminder without typing,speak and put a reminder without typing,put a
Can u plz set timing to 12pm to 8pm,Not Found,u plz
All the reminder came just now,Not Found,Not Found
I wanted to chaing madam & am Luthemath data,chaing madam & am Luthemath data,chaing madam
Thanks for reminder guys,Not Found,for guys
11.59 - 17 jan,Not Found,Not Found
Today remind me to buy napkins at 07:30 PM,buy napkins,buy napkins
Add reminder to keep calm and be silent,keep calm and be silent,keep calm
Could you remind me to send quote in half and hour,send quote,send quote
Call me at 9:00 pm,Call me,Not Found
Please call me at 7.35,Not Found,Not Found
18 december is birthday of my friend jayachandran's daughter,birthday of my friend jayachandran's daughter,my friend jayachandran
I set the reminder at 12.00 am,Not Found,set the
Remind me for activa insurance renewal,activa insurance renewal,me for activa insurance renewal
Please i naver need my all reminder,Not Found,need my all
"dvd,fan,ticket book,garden,call rekha,iron,recharge,washer,med chkup","ticket book and call rekha,iron,recharge,washer,med chkup",ticket book
Remind me to pay my car EMI on 23/11/16 around 9 in evening.,pay my car EMI,pay my car EMI
Remind me to speak with kalpatru's parents regarding meeting.,speak with kalpatru's parents regarding meeting,speak with kalpatru
I am getting reminders only when I am opening the application...,getting reminders and opening the application...,opening the application
Please make this reminder as 12pm to 9pm just for monday to friday,Not Found,make this
Remind to check on food,check on food,check on food
But make a call on 91 866 005 8991,But make a call,make a call
Need to set a reminder,Not Found,set a
Listn na jzt remind me tomorrow to take fullscapes all subjects digest....,take fullscapes all subjects digest....,take fullscapes
Remind me tomorrow morning at 9 am for the bank deposit,for the bank deposit,for the bank deposit
Can you please remind me for a haircut tomorrow at 8:30am,a haircut,me for a haircut
You can remind me after 8:00 pm too,Not Found,Not Found
Please edit the morning alarm,Not Found,edit the morning alarm
When is my alarm scheduled,When,is my alarm
Hi!can you please remind me to keep the kitty money tomorrow morning at 10:30,keep the kitty money,keep the kitty money morning
Can you remind me to eat ice cream everyday,eat ice cream,eat ice cream everyday
please remind me to service my vehicle at 2:00pm today,service my vehicle,service my vehicle
Another b-day reminder,Not Found,Another b-day
Remind me to go home at 9 pm today,go home,go home
Set my class reminder at 11.15am,Not Found,my class
9911857301,Not Found,Not Found
"Reshma, remind me to write mail to my professor at 1130",write mail to my professor,write mail
Can u please remind me today at 3.45 to carry my shoe and blazers,carry my shoe and blazers,carry my shoe
Remind me to deliver a book to bhavika by 11.00am today I.e 9-1-2017,deliver a book to bhavika,deliver a book
Please unsubscribe the every Sunday's formuale book reminder,Not Found,formuale book
Remind me on 9th Dec,Not Found,Not Found
8 am,Not Found,Not Found
Schedule another meeting tomorrow for vlsi-lab at vemue two pm,another meeting,another meeting
Remind me to go to library tomorrow at 10 am,go to library,Not Found
When i opned the app.. Then reminder comea,comea,opned the app..
Remind me abt going to Airport on 22ndnov at. 10a.m.thanqe.,abt going to Airport and 10a.m.thanqe,Not Found
Sorry i want reminder for 30 Dec 2016 Time : 11 55 PM,Not Found,Sorry i
Remind me for paying rent today,paying rent,paying rent
Remind me about buying pen & cold coffee,buying pen & cold coffee,buying pen
Tomorrow remind me to buy bed head silver spray from hakim alim around 4:00pm,buy bed head silver spray,buy bed head silver spray
Change the reminder time,Not Found,Change the time
Set a reminder for that at 12:30,Not Found,Set a
But can I get call for this,Not Found,get call
Thanks and remind me to fix an appointment with guru at 9.30 am,fix an appointment with guru,fix an appointment
Remind me tomorrow morning @ 8am,Not Found,me morning @
If you could tell me about champ cash app,champ cash app,tell me about champ cash app
Remind me at 8pm today,Not Found,Not Found
Thnq for reminding me,reminding me,Not Found
Set an reminder,Not Found,Not Found
Remind me to wash my clothes at 11 pm today,wash my clothes,wash my clothes
Please delete all the alarms,delete all the alarms,the alarms
Just remind me to fill tdv form,fill tdv form,fill tdv form
Please remind me of my insurance policy payment..on 10 Dec 16,my insurance policy payment,my insurance policy
remind me to take a notebook,take a notebook,take a notebook
Remind me on 30th november to take rs.450 from kishan,take rs.450 from kishan,take rs.450
I have to add more reminders,add more reminders,add more reminders
Could you remind me tomorrow afternoon at 1330 hrs that I need to pay Jeevan ?,pay Jeevan,me afternoon
What to get the wakeup call we should need internet for that ?,get the wakeup and internet for that ?,get the wakeup call
Well thanks Shraddha for reminders.. I appreciate it..,Not Found,Well thanks Shraddha
Plz set up a reminder for tomorow at 9.30 am Subject- send s 13th nov event,send s 13th,Subject- send s
Office cab @11-45Am,Not Found,Office cab
Thank you ... I have done the work... As I am in meetings I couldn't pick call...,Thank you ... I have done the work...,done the work
The app will work for this even when the phone is offline for this reminder??,The app will work for this even when the phone,The app
Remind me to wash towels in the next 15 minutes,wash towels,wash towels
set a alram at 5 am,Not Found,set a alram
To call jishnu da at 9 a.m. today and fix the conference time in the evening.,call jishnu da and fix the conference time,fix the conference time
Will u plz remind me aftr 10 min...jst bcoz I want to go smewhere ..so plzz,go smewhere ..so plzz,go smewhere ..so plzz
Set a reminder to eat at 9 pm today,eat,Set a
Just want to set the remainder,Not Found,set the remainder
Remind me only haptik app,haptik app,haptik app
"Put a reminder for 30/12/16,friday Matter is- check shopping list ...inside the pen box",check shopping list ...inside the pen box,is- check shopping list
"Need a reminder for aditya fee pay on jan 04, 2017 at 10.45AM",aditya fee pay,for aditya fee pay
Set alarm for today after every one hour till 5 am,Not Found,Set alarm
Hey can u remind me to do my 4g recharge on 21st december 12:30 am night,do my 4g recharge,Not Found
Remind me to take adarsh's documents on Monday. Remind me tomorrow night,take adarsh's documents,take adarsh
Wht r the reminders for today,Wht r the reminders,r the reminders
SSC Exam form filling reminder...,SSC Exam form filling,SSC Exam form
Ya,Not Found,Not Found
Remind me tomorrow at 12 for my meeting with Ms Neetu Ohri at 2pm tomorrow,meeting with Ms Neetu Ohri,with Ms Neetu Ohri
How can I Herr just use a simple reminder,Not Found,use a simple
How reminder will work ?,work,Not Found
Daily schedule,Not Found,Daily schedule
Remind me for pratul haria at 9 pm today,pratul haria,me for pratul haria
Remind me Tomorrow at 9:45 am to talk with roshan about nose pin..,talk with roshan about nose pin,talk with roshan
Also remind me on 15 December 11 am that I.ve to send the Monthly Report to UNICEF,I.ve to send the Monthly Report,send the Monthly Report
Thanks pourush,Not Found,Thanks pourush
Reminder Jan 1st around 1pm.. Friends coming over at 4pm.. Thanx,Friends coming over,Not Found
Reminder about kakali,kakali,about kakali
Please remind me to pay electricity bill tomorrow at 9.a.m. morning,pay electricity bill,pay electricity bill
Need remainder,Not Found,Need remainder
pls remind me,Not Found,Not Found
"Please delete the previous reminder set for 4:30 am on Jan 09, Monday",Not Found,delete the previous
Change it to msg reminder,msg reminder,Not Found
u guys give me only miss call,miss call,u guys
Remind me at 10am everyday for tea,tea,for tea
Can u plz remind me,Not Found,u plz
Pls close my reminders,close my reminders,my reminders
Where is shradha?,Where and shradha?,Not Found
I wanted to know about the order placed through Flipkart,know about the order placed through Flipkart,know about the order
Can u also remind me to cal snigdha at 8pm,cal snigdha,cal snigdha
plz reminds me that on cv print,on cv print,on cv print
Remind me above task @ 3,Not Found,me above task
Marriage of daughter of Sumantra on 2nd February. Please remind me on 30th January.,Not Found,of daughter
Need a reminder to eat every 2 hrs,eat,Need a
Also set a reminder on 9667000974 at 10.30 am on 9.1.2017,Not Found,set a
"hey,remind me to sleep after 30 minutes",sleep,Not Found
Hey get me a alarm of 6pm for work out,work out,get me a alarm
Can you set reminder for my friend??,my friend??,my friend
Remind me 'blue orange' on 6th jan. 7PM to 12 midnight. Every hour,blue orange',me 'blue orange
Remind me to submit electricity and gas bill tomorrow at 10am,submit electricity and gas bill,submit electricity
Remind me agaain and again First at 2.45 then 2.50,agaain and again First,again First
Need a reminder at 9am to give my passport to tanya,give my passport to tanya,give my passport
U forgot to call me,call me,Not Found
I need a call at 11 itself,I need a call,need a call
Plz alert me when is the lowest flight fare from delhi to Goa in January last week or feb 1st week,lowest flight fare,is the lowest flight fare
"Remind me to check Linkedin, gmail, yahoo everyday","check Linkedin, gmail, yahoo",check Linkedin
Set a reminder @ 6:30 pm,Not Found,Set a @
Please remind me to file for reimbursement today 9pm,file for reimbursement,file for reimbursement
Thankyou for all reminders 😄😄👌,all reminders,for all reminders
Can I add one more reminder pls,Not Found,more pls
How can I set reminder for my investment and lone EMI,my investment and lone EMI,my investment
Mr. Rajendra see now I am getting reminder once I opened your app,Not Found,opened your app
But I haven't set thebreminder,Not Found,Not Found
Schedule it every day frm today till 17nov,Not Found,it every day
Do you know which task am i talking about ?,which task am i talking about ?,Not Found
Remind me tommorow,Not Found,Not Found
Remind me of my frnds birthday on 30 jan,my frnds birthday,my frnds
"Date: November 7, 2016 Time: 12 02 p.m. Name of Person: Shree electrical ko call karana hai",Shree electrical ko call karana hai,Shree electrical ko call karana hai
I sleep all day.,I sleep all day,sleep all day
Please cancell wakeup call @5:20,wakeup call,cancell wakeup call
Means u have scheduled 6 alarms in a gap of 10min,have scheduled 6 alarms,in a gap
Tell me about health drink,health drink,Tell me about health drink
Set a reminder for 3PM Friday,Not Found,Set a
Can you remind me to do web check-in at 11 tonight?,do web check-in,web check-in
Mujhe reminder schedule karwana hai.,karwana hai,Mujhe schedule
Remind me on 28 December for renewal my train pass,renewal my train pass,my train pass
Remind me about dry fruits schedule daily,dry fruits schedule,me about dry fruits
Remind me to take my salary slip at 3:30,take my salary slip,take my salary slip
Gd mrng,Not Found,Gd mrng
"Hello, isn't there a sound enabled reminder",Not Found,a sound
Collection money from market reminder is for daily,Collection money,Collection money
Remind me to ask my aunty that when they r leaving frm kochin ..,ask my aunty,leaving frm kochin ..
What all are my daily reminders?,What all are my daily reminders,are my daily reminders
Infact i wanted to know about an university results,about an university results,know about an university results
Remind me to refill my 3G balance on 22nd December at 10 am,refill my 3G balance,Not Found
Set an reminder for print outs of passport documents,print outs of passport documents,for print outs
I need to be remind daily,Not Found,Not Found
Had asked for a reminder to be scheduled every alternate day but have been getting a reminder every day,getting a reminder,scheduled every alternate day
And it will also set for tomorrow at 9:30pm,Not Found,set for
And also remind me to go pick up ammu at 10 am tomorrow,go pick up ammu,Not Found
Set alarm for 7:15 am,Not Found,Set alarm
Please shut down all the current reminders,shut down all the current reminders,the current reminders
Pls give 100 rupee notes. Take all my 500 and 2000,give 100 rupee notes. Take all my 500 and 2000,rupee notes
See my reminder,Not Found,See my
"Yeah sure, remind me everyday",Not Found,Not Found
How ll you remind me,Not Found,Not Found
Can u set reminder for catching train on 4th Jan @ 3 pm,catching train on 4th Jan,catching train
Please remind me tomorrow 10.30 AM for Ticket confirm,10.30 AM for Ticket confirm,for Ticket confirm
Please remind for calling Deepak Kapur after every two hours today,calling Deepak Kapur,calling Deepak Kapur
Set a reminder of Daily horoscope for Capricorn,Daily horoscope for Capricorn,of Daily horoscope
Hey can you set me a reminder,Not Found,set me a
Set up an alarm at 3 p.m,Not Found,an alarm
Can u send me a reminder at 8.25,Not Found,send me a
Please can you remember me at 4:07pm,Not Found,Not Found
"Remind me to message Yoshita, asking her out for movie","message Yoshita, asking her out for movie",message Yoshita
Any news about the U. S ELECTIONS?,Any news about the U. S ELECTIONS,about the U
I'll get a call from you right?,get a call,get a call
okay,Not Found,Not Found
Remind me to buy clothes for my grandmother tomorrow at 12 : 45,buy clothes for my grandmother,buy clothes
What do you think about Netflix? Worth buying ?,What do you think about Netflix? Worth buying,think about Netflix
Remind me abt smart watch,smart watch,me abt smart watch
Set remainder for 1.40 pm today,Not Found,Set remainder
I have to go to gor completion of project so remind me at 2:30 pm today,go to gor completion of project,gor completion
Remind me at 6:33,Not Found,Not Found
Thanks for the reminder kindly donot remind me now,Not Found,for the
Remind me nowvplease,Not Found,Not Found
Remind me 3 times at 10 minutes of interval,interval,of interval
Yes.. Remind me evryday,Not Found,Not Found
Remind me. Doc upload on ultimatix. At 12 noon . Today,Doc upload on ultimatix,Doc upload
Set reminder to watch one tv program at 7.30 pm tomorrow,watch one tv program,tv program
Thanx for reminder,Not Found,Not Found
Can you pls set a reminder at 1o clock for my work time its for today only,clock for my work time its,my work time
Can you do anything else except reminder,Not Found,do anything
I want to know how to activate international calling in airtel postpaid,how to activate international calling in airtel postpaid,calling in airtel postpaid
Tution remind,Not Found,Not Found
Did u came to know about Tamil nadu current situation,about Tamil nadu current situation,know about Tamil
Remind me about jewelry for mom,jewelry for mom,me about jewelry
Plz remind me abt program schedule at 8:00 am morrow,Not Found,me abt program schedule
Also give me a call at 8 15 am in the morning,give me a call,give me a call
Remind me to take stamp paper on 10/12/16 at 8:35 am,take stamp paper,take stamp paper
So conclusion I do have two reminder one for tomorrow and one for 1st jan?,one for tomorrow and one for 1st jan,So conclusion
Remind me to.take print of my ticket tomorrow at 12.20 pm,print of my ticket,to.take print
Can you Cancle my alarm at 6:45?,Not Found,Cancle my alarm
Tommorow remind me at 5:00 pm to go to stationary,go to stationary,Not Found
Hey Id like a pause on my drinking reminder,Hey Id like a pause,like a pause
how you will remind me?,Not Found,Not Found
Remind to deposit cheque on monday,deposit cheque,deposit cheque
"Hey, can you remind me my sleeping time",Not Found,my sleeping time
Why u did call me at morning,Not Found,call me at morning
Remind me fees,Not Found,me fees
Remind me about the movie at 8 pm tomorrow,the movie,me about the movie
I need a reminder on Monday that is 14 November that I have to remind everybody to get 1m swatches for daf class. I need it at 9pm,get 1m swatches for daf class,for daf class
Remind me after 1hr 50 minutes,Not Found,Not Found
Remind me on regular intervals,regular intervals,me on regular intervals
Please remember me to take application on friday,take application,take application
I need reminder on every one hour...Can you do,Not Found,Not Found
"Name: Nikita (kvn tomm) Date: June 21, 2017 Time: 8 00 PM",Not Found,kvn tomm
Can I set the good morning messages to other as surprise?,Not Found,set the good morning messages
Pls remind this to me everyday,Not Found,Not Found
Will you provide reminder daily...or for just a day??,or for just,just a day
I'll send you the same by middle of the day. Can you remind me again at 3 pm?,send you the same,of the day
"Meeting Reminder Date: November 21, 2016 Time: 5 00 p.m. Meeting with: Maithili mane Venue: Arc",Not Found,Maithili mane Venue
Remind me to take deposits from hospital tomorrow 9 am,take deposits from hospital,take deposits
Hi please remind me to carry ericas helmet to office,carry ericas helmet to office,carry ericas helmet
Remind me at 8 to keep the capsules in the bag,keep the capsules in the bag,keep the capsules
Set an alarm for me at 4:58 am,Not Found,an alarm
Remind to go indigo,go indigo,go indigo
Date is 20 Feb,Date,Not Found
I wanted to set a reminder for 15th Dec at 10:30 am.,Not Found,set a
Yes i need to add one reminder,one reminder,Not Found
Reminder for tomorrow at 1pm to send invoice,send invoice,send invoice
Yes thankyou but please .. dnt call at that time.. Just drop a msg,time.. Just drop a msg,at that time.. Just drop
Do I need to be online for a reminder to work?,work,for a
Yes. Remind me every one hour,Not Found,Not Found
Remind me East Bengal,East Bengal,me East Bengal
Can you set an alarm for 6am,Not Found,set an alarm
Plz remind me tomorow to book cylinder for home. At 8.30am,book cylinder for home,book cylinder
Set a alarm on 5th of December that I have to throw some thing,throw some thing,Set a alarm
I want to track my parcel,track my parcel,track my parcel
"Name: shubhanshu Date: July 18, 2017 Time: 11 55 PM",Not Found,shubhanshu Date
